Round Number,Date,Location,Home Team,Away Team,Winner,Result
9,20/10/2018 15:00,Etihad Stadium,Man City,Burnley,H,5 - 0
9,20/10/2018 15:00,St. James' Park,Newcastle,Brighton,A,0 - 1
9,20/10/2018 15:00,London Stadium,West Ham,Spurs,A,0 - 1
9,20/10/2018 15:00,Molineux Stadium,Wolves,Watford,A,0 - 2
9,20/10/2018 17:30,John Smith's Stadium,Huddersfield,Liverpool,A,0 - 1
9,21/10/2018 16:00,Goodison Park,Everton,Crystal Palace,H,2 - 0
9,22/10/2018 20:00,Emirates Stadium,Arsenal,Leicester,H,3 - 1
10,27/10/2018 15:00,Amex Stadium,Brighton,Wolves,H,1 - 0
10,27/10/2018 15:00,Craven Cottage,Fulham,Bournemouth,A,0 - 3
10,27/10/2018 15:00,Anfield,Liverpool,Cardiff,H,4 - 1
10,27/10/2018 15:00,St. Mary's Stadium,Southampton,Newcastle,D,0 - 0
10,27/10/2018 15:00,Vicarage Road,Watford,Huddersfield,H,3 - 0
10,27/10/2018 17:30,King Power Stadium,Leicester,West Ham,D,1 - 1
10,28/10/2018 13:30,Turf Moor,Burnley,Chelsea,A,0 - 4
10,28/10/2018 13:30,Selhurst Park,Crystal Palace,Arsenal,D,2 - 2
10,28/10/2018 16:00,Old Trafford,Man Utd,Everton,H,2 - 1
10,29/10/2018 20:00,Wembley Stadium,Spurs,Man City,A,0 - 1
11,03/11/2018 12:30,Vitality Stadium,Bournemouth,Man Utd,A,1 - 2
11,03/11/2018 15:00,Cardiff City Stadium,Cardiff,Leicester,A,0 - 1
11,03/11/2018 15:00,Goodison Park,Everton,Brighton,H,3 - 1
11,03/11/2018 15:00,St. James' Park,Newcastle,Watford,H,1 - 0
11,03/11/2018 15:00,London Stadium,West Ham,Burnley,H,4 - 2
11,03/11/2018 17:30,Emirates Stadium,Arsenal,Liverpool,D,1 - 1
11,03/11/2018 19:45,Molineux Stadium,Wolves,Spurs,A,2 - 3
11,04/11/2018 15:00,Etihad Stadium,Man City,Southampton,H,6 - 1
11,04/11/2018 16:00,Stamford Bridge,Chelsea,Crystal Palace,H,3 - 1
11,05/11/2018 20:00,John Smith's Stadium,Huddersfield,Fulham,H,1 - 0
12,10/11/2018 12:30,Cardiff City Stadium,Cardiff,Brighton,H,2 - 1
12,10/11/2018 15:00,John Smith's Stadium,Huddersfield,West Ham,D,1 - 1
12,10/11/2018 15:00,King Power Stadium,Leicester,Burnley,D,0 - 0
12,10/11/2018 15:00,St. James' Park,Newcastle,Bournemouth,H,2 - 1
12,10/11/2018 15:00,St. Mary's Stadium,Southampton,Watford,D,1 - 1
12,10/11/2018 17:30,Selhurst Park,Crystal Palace,Spurs,A,0 - 1
12,11/11/2018 12:00,Anfield,Liverpool,Fulham,H,2 - 0
12,11/11/2018 14:15,Stamford Bridge,Chelsea,Everton,D,0 - 0
12,11/11/2018 16:30,Emirates Stadium,Arsenal,Wolves,D,1 - 1
12,11/11/2018 16:30,Etihad Stadium,Man City,Man Utd,H,3 - 1
13,24/11/2018 15:00,Amex Stadium,Brighton,Leicester,D,1 - 1
