Round Number,Date,Location,Home Team,Away Team,Winner,Result
20,30/12/2018 16:30,Old Trafford,Man Utd,Bournemouth,H,4 - 1
21,01/01/2019 12:30,Goodison Park,Everton,Leicester,A,0 - 1
21,01/01/2019 15:00,Emirates Stadium,Arsenal,Fulham,H,4 - 1
21,01/01/2019 17:30,Cardiff City Stadium,Cardiff,Spurs,A,0 - 3
21,02/01/2019 19:45,Vitality Stadium,Bournemouth,Watford,D,3 - 3
21,02/01/2019 19:45,Stamford Bridge,Chelsea,Southampton,D,0 - 0
21,02/01/2019 19:45,John Smith's Stadium,Huddersfield,Burnley,A,1 - 2
21,02/01/2019 19:45,London Stadium,West Ham,Brighton,D,2 - 2
21,02/01/2019 19:45,Molineux Stadium,Wolves,Crystal Palace,A,0 - 2
21,02/01/2019 20:00,St. James' Park,Newcastle,Man Utd,A,0 - 2
21,03/01/2019 20:00,Etihad Stadium,Man City,Liverpool,H,2 - 1
22,12/01/2019 12:30,London Stadium,West Ham,Arsenal,H,1 - 0
22,12/01/2019 15:00,Amex Stadium,Brighton,Liverpool,A,0 - 1
22,12/01/2019 15:00,Turf Moor,Burnley,Fulham,H,2 - 1
22,12/01/2019 15:00,Cardiff City Stadium,Cardiff,Huddersfield,D,0 - 0
22,12/01/2019 15:00,Selhurst Park,Crystal Palace,Watford,A,1 - 2
22,12/01/2019 15:00,King Power Stadium,Leicester,Southampton,A,1 - 2
22,12/01/2019 17:30,Stamford Bridge,Chelsea,Newcastle,H,2 - 1
22,13/01/2019 14:15,Goodison Park,Everton,Bournemouth,H,2 - 0
22,13/01/2019 16:03,Tottenham Hotspur Stadium,Spurs,Man Utd,A,0 - 1
22,14/01/2019 20:00,Etihad Stadium,Man City,Wolves,H,3 - 0
23,19/01/2019 12:30,Molineux Stadium,Wolves,Leicester,H,4 - 3
23,19/01/2019 15:00,Vitality Stadium,Bournemouth,West Ham,H,2 - 0
23,19/01/2019 15:00,Anfield,Liverpool,Crystal Palace,H,4 - 3
23,19/01/2019 15:00,Old Trafford,Man Utd,Brighton,H,2 - 1
23,19/01/2019 15:00,St. James' Park,Newcastle,Cardiff,H,3 - 0
